State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Arunachal Pradesh,Lohit,Namsai (NT),104,2,96,96,96,6,0,0,61,37,0
Arunachal Pradesh,Lohit,Tezu (NT),216,21,194,0,0,0,1,0,210,0,1
Assam,Barpeta Road,Barpeta (MB),2428,2416,0,0,0,0,3,9,0,1,1
Assam,Barpeta Road,Barpeta Road (MB),13,7,0,0,0,0,0,6,0,0,0
Assam,Barpeta Road,Howli (TC),3,3,0,0,0,0,0,0,0,1,0
Assam,Barpeta Road,Patacharkuchi,496,436,50,50,0,10,0,0,38,12,0
Assam,Barpeta Road,Pathsala (TC),6,4,0,0,0,0,0,2,0,0,0
Assam,Barpeta Road,Sarbhog (TC),2,0,0,0,0,0,0,2,0,0,0
Assam,Barpeta Road,Sarthebari (TC),427,326,99,98,0,0,0,2,0,0,0
Karnataka,Udupi,Kaapu (TMC),0,0,0,0,0,0,0,0,0,0,0
Karnataka,Udupi,Karkala (TMC),203,8,166,166,164,9,0,20,146,25,0
Karnataka,Udupi,Kundapura (TMC),82,15,67,67,60,0,0,0,52,0,0
Karnataka,Udupi,Saligram (TP),60,0,55,55,51,0,0,5,42,13,0
Karnataka,Udupi,Udupi (CMC),194,6,146,141,71,14,0,28,118,24,0
Karnataka,Shimoga,Bhadravati (CMC),2842,13,1715,1667,1341,1010,0,104,961,413,0
Karnataka,Shimoga,Hosanagara (TP),80,0,67,67,59,13,0,0,50,0,0
Karnataka,Shimoga,Jog Kargal (TP),640,0,636,636,473,4,0,0,532,0,0
Karnataka,Shimoga,Sagar (CMC),489,3,470,470,68,16,0,0,438,1,0
Karnataka,Shimoga,Shikarpur (TMC),1128,0,1072,1072,1032,55,1,0,756,23,0
Karnataka,Shimoga,Shimoga (CMC),2985,23,2043,2014,1572,916,0,3,831,106,0
Karnataka,Shimoga,Siralkoppa (TP),591,0,578,578,385,13,0,0,464,69,0
Karnataka,Shimoga,Soraba (TP),523,0,466,466,401,57,0,0,440,0,0
Karnataka,Shimoga,Tirthahalli (TP),90,1,86,84,59,3,0,0,81,1,0
Karnataka,Ramanagara,Bidadi (TMC),251,0,249,249,243,2,0,0,78,38,0
Karnataka,Ramanagara,Channapatna (CMC),1260,0,1230,1230,1125,30,0,0,1102,61,0
Karnataka,Ramanagara,Kanakapura (TMC),1577,1,1367,1367,81,178,0,31,1354,12,0
Karnataka,Ramanagara,Magadi (TMC),763,1,735,735,701,26,0,1,601,2,0
Karnataka,Ramanagara,Ramanagara (CMC),1201,0,867,867,786,23,0,311,838,29,0
Arunachal Pradesh,East Siang,Boleng (NT),77,0,76,72,72,0,0,1,75,0,0
Arunachal Pradesh,East Siang,Pasighat (NT),0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kra Dadi,PALIN,1,1,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Karung Kumey,Koloriang (NT),66,60,5,5,5,1,0,0,62,0,0
Assam,Baksa,Goreswar (TC),5,5,0,0,0,0,0,0,0,0,0
Assam,Chairang,Basugaon (TC),137,133,0,0,0,0,0,4,0,0,0
Assam,Chairang,Bijni (TC),23,10,0,0,0,0,2,11,0,0,1
Karnataka,Mysore,Bannur (TMC),1234,0,1225,1225,1208,9,0,0,1009,21,0
Karnataka,Mysore,Heggadadevankote (TP),460,10,434,427,419,4,0,12,268,92,0
Karnataka,Mysore,Hunsur (TMC),962,1,928,927,913,33,0,0,857,46,0
Karnataka,Mysore,Krishnarajanagara (TMC),1295,0,1220,1220,1172,2,0,73,1220,0,0
Karnataka,Mysore,Mysore (M Corp.),536,0,399,399,392,18,0,119,400,0,0
Karnataka,Mysore,Nanjangud (TMC),2112,0,1719,1719,1689,393,0,0,913,632,0
Karnataka,Mysore,Piriyapatna (TP),598,1,499,499,429,97,0,1,340,97,0
Karnataka,Mysore,Saragur (TP),476,13,461,455,452,0,0,2,147,67,0
Karnataka,Mysore,Tirumakudal Narsipur (TP),744,0,615,614,608,16,1,112,331,79,0
Karnataka,Mandya,Krishnarajpet (TMC),459,30,316,316,292,3,3,107,280,2,0
Karnataka,Mandya,Maddur (TMC),312,4,138,138,56,32,0,138,102,15,0
Karnataka,Mandya,Malavalli (TMC),977,3,967,960,880,6,0,1,967,0,0
Karnataka,Mandya,Mandya (CMC),756,0,585,585,128,0,1,170,565,15,0
Karnataka,Mandya,Nagamangala (TP),227,19,99,97,80,109,0,0,98,27,0
Karnataka,Mandya,Pandavapura (TMC),624,18,330,330,292,5,0,271,215,5,0
Karnataka,Mandya,Shrirangapattana (TMC),909,5,714,708,636,108,1,81,605,23,0
Jammu & Kashmir,Samba,Bari Brahamana (MC),398,0,327,327,24,16,0,55,326,0,0
Jammu & Kashmir,Samba,Ramgarh (MC),375,19,355,355,342,1,0,0,155,28,12
Jammu & Kashmir,Samba,Samba (MC),299,24,177,177,140,1,0,97,149,1,0
Jammu & Kashmir,Samba,Vijay Pur (MC),247,0,168,168,69,9,0,70,139,1,1
Jammu & Kashmir,Reasi,Katra (MC),347,0,220,220,19,0,0,127,160,2,0
Jammu & Kashmir,Reasi,Purana Daroorh (MC),0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Reasi,Reasi (MC),347,2,226,226,142,18,0,101,161,22,0
Jammu & Kashmir,Shupiyan,Shupiyan (MC),660,0,547,371,350,111,0,2,97,102,0
Karnataka,Koppal,Bhagyanagar (TP),492,14,402,402,402,76,0,0,8,56,0
Karnataka,Koppal,Gangawati (CMC),7300,199,7080,6736,3476,16,3,2,1323,143,0
Karnataka,Koppal,Kaaratagi (TMC),771,351,403,371,371,17,0,0,5,1,0
Karnataka,Koppal,Kanakagiri (TP),611,464,147,131,131,0,0,0,1,0,0
Karnataka,Koppal,Koppal (CMC),4229,59,3725,3725,3499,445,0,0,1050,34,0
Karnataka,Koppal,Kukanooru (TP),1215,360,821,810,809,34,0,0,2,5,0
Karnataka,Koppal,Kushtagi (TMC),1039,32,812,360,329,195,0,0,313,85,0
Karnataka,Koppal,Tavaragera (TP),617,13,604,129,129,0,0,0,0,0,0
Karnataka,Koppal,Yelbarga (TP),1055,2,1035,985,862,18,0,0,347,85,0
Karnataka,Kolar,Bangarapet (TMC),864,2,862,862,604,0,0,0,672,4,0
Karnataka,Kolar,Kolar (CMC),333,0,333,333,175,0,0,0,329,0,0
Karnataka,Kolar,Malur (TMC),728,167,477,477,402,11,0,73,473,1,0
Karnataka,Kolar,Mulbagal (TMC),1004,7,961,961,884,2,2,32,931,11,0
Karnataka,Kolar,Robertson Pet (CMC),12333,2811,7334,7334,5916,2185,0,3,5633,851,0
Karnataka,Kolar,Srinivaspur (TMC),423,2,410,410,182,6,0,5,409,0,0
Arunachal Pradesh,East Kameng,Seppa (NT),152,123,29,0,0,0,0,0,151,0,0
Karnataka,Raichur,Balaganur (TP),109,16,81,73,69,12,0,0,51,1,0
Karnataka,Raichur,Devadurga (TMC),2879,79,2776,2776,1462,23,1,0,524,307,0
Karnataka,Raichur,Hatti Gold Mines(NAC),0,0,0,0,0,0,0,0,0,0,0
Karnataka,Raichur,Kavitala (TP),597,3,566,565,565,27,1,0,185,46,0
Karnataka,Raichur,Lingsugur (TMC),1399,0,1309,1309,837,90,0,0,525,207,0
Karnataka,Raichur,Manvi (TMC),2940,119,1870,1865,1413,949,2,0,692,1283,0
Karnataka,Raichur,Maski (TMC),735,1,733,702,696,1,0,0,315,118,0
Karnataka,Raichur,Mudgal (TP),1688,24,1661,1661,1320,3,0,0,758,62,0
Karnataka,Raichur,Raichur (CMC),18332,1220,13950,13793,1546,3152,8,2,2277,85,0
Karnataka,Raichur,Sindhnur (CMC),1813,0,1799,1799,1772,14,0,0,1112,213,0
Karnataka,Raichur,Siravara,180,0,179,179,179,1,0,0,82,3,0
Karnataka,Raichur,Turuvihaala (TP),445,7,437,185,185,1,0,0,99,93,0
Jammu & Kashmir,Punch,Punch (M Cl),725,0,247,218,1,281,0,197,8,65,0
Jammu & Kashmir,Punch,Surankote (MC),380,0,276,276,24,60,0,44,243,12,3
Arunachal Pradesh,Dibang Valley,Anini (NT),0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,Changlang (NT),32,1,31,31,31,0,0,0,31,0,0
Arunachal Pradesh,Changlang,Jairampur (NT),53,0,52,52,52,1,0,0,52,1,0
Arunachal Pradesh,Changlang,Miao (NT),49,0,49,49,49,0,0,0,49,0,0
Jammu & Kashmir,Rajouri,MC Kalakote,402,34,363,363,0,5,0,0,180,85,0
Jammu & Kashmir,Rajouri,Nowshehra (MC),466,6,259,258,68,95,0,106,123,25,0
Jammu & Kashmir,Rajouri,Rajauri (MC),734,112,602,601,6,20,0,0,443,76,0
Jammu & Kashmir,Rajouri,Sunderbani (MC),133,2,93,91,0,3,0,35,32,34,0
Jammu & Kashmir,Rajouri,Thanamandi (MC),639,247,321,315,26,70,0,1,296,0,6
Jammu & Kashmir,Pulwama,Awantipora (MC),368,5,296,290,95,65,1,1,163,4,5
Jammu & Kashmir,Pulwama,Khrew (MC),165,1,155,147,10,9,0,0,27,12,0
Jammu & Kashmir,Pulwama,Pampora (MC),784,17,666,401,8,99,0,2,140,141,0
Jammu & Kashmir,Pulwama,Pulwama (MC),836,122,706,445,58,6,2,0,306,7,0
Jammu & Kashmir,Pulwama,Tral (MC),394,11,257,257,4,124,1,1,190,15,1
Jammu & Kashmir,Leh,Leh Ladakh (MC),0,0,0,0,0,0,0,0,0,0,0
Karnataka,Kodagu,Kushalnagar (TP),94,2,55,55,25,37,0,0,56,1,0
Karnataka,Kodagu,Madikeri (CMC),205,6,197,197,176,2,0,0,152,6,0
Karnataka,Kodagu,Somvarpet (TP),163,0,162,162,147,1,0,0,125,12,0
Karnataka,Kodagu,Virajpet (TP),162,0,156,156,132,6,0,0,161,0,0
West Bengal,Puruliya,Jhalda (M),10,8,0,0,0,0,0,2,0,0,0
West Bengal,Puruliya,Puruliya (M),313,293,0,0,0,0,0,20,0,0,0
West Bengal,Puruliya,Raghunathpur (M),23,23,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Anjaw,Hawai (NT),0,0,0,0,0,0,0,0,0,0,0
Karnataka,Hubli-Dharwad,Alnavar (TP),1205,0,1179,1176,1142,3,0,23,1107,27,0
Karnataka,Hubli-Dharwad,Annigeri (TMC),3010,0,2731,2731,2361,0,0,279,767,6,0
Karnataka,Hubli-Dharwad,Hubli-Dharwad (M Corp.),21078,62,20863,20838,19846,81,1,71,14213,2409,0
Karnataka,Hubli-Dharwad,Kalghatgi (TP),1608,85,1051,999,640,36,0,436,804,7,0
Karnataka,Hubli-Dharwad,Kundgol (TP),1469,30,1427,1422,968,12,0,0,212,45,0
Karnataka,Hubli-Dharwad,Navalgund (TMC),2206,7,1740,1740,1471,18,1,440,904,20,0
Jharkhand,Seraikela,Adityapur (Nagar Parishad),6896,3,6717,6717,797,41,0,135,6728,1,1
Jharkhand,Seraikela,Seraikela (NP),716,17,589,589,541,37,1,72,589,0,1
Jharkhand,Sahibganj,Rajmahal (NP),3191,0,2677,2677,1721,316,0,198,2685,0,1
Jharkhand,Sahibganj,Sahibganj (Nagar Parishad),6292,3,5439,5439,4087,642,0,208,5439,0,2
West Bengal,Paschim Medinipur,Chandrakona (M),11,6,0,0,0,0,0,5,2,1,2
West Bengal,Paschim Medinipur,Ghatal (M),128,127,0,0,0,0,1,0,1,0,1
West Bengal,Paschim Medinipur,Jhargram (M),40,23,0,0,0,0,0,17,0,0,0
West Bengal,Paschim Medinipur,Kharagpur (M),136,106,0,0,0,0,2,28,2,0,2
West Bengal,Paschim Medinipur,Kharar (M),0,0,0,0,0,0,0,0,0,0,0
West Bengal,Paschim Medinipur,Kshirpai (M),3,3,0,0,0,0,0,0,0,0,0
West Bengal,Paschim Medinipur,Medinipur (M),168,69,0,0,0,0,2,97,2,4,0
West Bengal,Paschim Medinipur,Ramjibanpur (M),39,27,0,0,0,0,1,11,0,0,2
West Bengal,North 24 Paraganas,Ashokenagar Kalyangarh (M),2639,1954,0,0,0,0,1,684,1,0,0
West Bengal,North 24 Paraganas,Baduria (M),2243,3,1206,1206,0,1030,0,4,1209,0,0
West Bengal,North 24 Paraganas,Baranagar (M),1289,1284,0,0,0,0,0,5,1,0,0
West Bengal,North 24 Paraganas,Barasat (M),1300,1237,0,0,0,0,0,63,1,0,0
West Bengal,North 24 Paraganas,Barrackpore (M),646,544,98,98,84,0,0,4,96,1,0
West Bengal,North 24 Paraganas,Barrackpur Cantonment (CB),0,0,0,0,0,0,0,0,0,0,0
West Bengal,North 24 Paraganas,Basirhat (M),10698,2762,1873,1847,1303,0,2,6061,49,0,1
West Bengal,North 24 Paraganas,Bhatpara (M),2887,1048,1755,1755,2,74,2,8,1210,2,1
West Bengal,North 24 Paraganas,Bidhannagar (M),425,423,0,0,0,0,0,2,1,0,0
Uttarakhand,Uttarkashi,Barkot (NP),53,1,50,50,49,2,0,0,30,0,2
West Bengal,North 24 Paraganas,Bongaon (M),3193,634,2540,258,0,18,1,0,351,1,0
Uttarakhand,Uttarkashi,Chinyalisaur,381,0,379,379,265,2,0,0,282,5,1
West Bengal,North 24 Paraganas,Dum Dum (M),237,104,126,126,0,0,0,7,1,0,0
West Bengal,North 24 Paraganas,Garulia (M),169,168,0,0,0,0,0,1,0,1,0
Uttarakhand,Uttarkashi,Gangotri (NP),4,0,0,0,0,2,0,2,0,0,1
Uttarakhand,Uttarkashi,NAUGAON (NP),191,85,106,56,56,0,0,0,20,5,0
Uttarakhand,Uttarkashi,Purola,258,0,257,257,222,1,0,0,147,56,1
West Bengal,North 24 Paraganas,Gobardanga (M),1281,49,689,689,582,542,0,1,0,0,0
Uttarakhand,Uttarkashi,Uttarkashi (NPP),145,1,140,140,140,4,0,0,77,1,3
West Bengal,North 24 Paraganas,Habra (M),2275,407,1842,1822,155,21,0,5,2081,0,0
Uttarakhand,Udhamsingh Nagar,Bazpur (NPP),198,19,179,167,60,0,0,0,18,0,0
West Bengal,North 24 Paraganas,Halisahar (M),288,1,184,184,53,103,0,0,168,0,0
West Bengal,North 24 Paraganas,Kamarhati (M),154,153,0,0,0,0,0,1,0,0,0
Uttarakhand,Udhamsingh Nagar,Dineshpur (NP),891,21,866,127,89,3,1,0,2,0,1
Uttarakhand,Udhamsingh Nagar,Gadarpur (NPP),139,79,39,39,4,17,0,4,0,1,0
West Bengal,North 24 Paraganas,Kanchrapara (M),1173,724,443,305,13,6,0,0,40,0,1
Uttarakhand,Udhamsingh Nagar,GULARBHOJ (NP),194,0,194,194,194,0,0,0,0,0,0
Uttarakhand,Udhamsingh Nagar,Jaspur (NPP),252,1,203,203,190,46,0,2,135,3,1
West Bengal,North 24 Paraganas,Khardah (M),420,418,0,0,0,0,0,2,0,0,0
West Bengal,North 24 Paraganas,Madhyamgram (M),920,914,0,0,0,2,0,4,0,1,0
West Bengal,Purba Medinipur,Contai (M),60,55,0,0,0,0,0,5,3,0,1
Uttarakhand,Udhamsingh Nagar,Kashipur (NPP),331,98,104,103,64,129,0,0,114,2,2
Uttarakhand,Udhamsingh Nagar,Kela Khera (NP),17,0,15,15,7,2,0,0,0,0,0
Uttarakhand,Udhamsingh Nagar,Khatima (NPP),211,158,52,52,0,0,1,0,2,0,0
West Bengal,North 24 Paraganas,Nabadiganta Industrial Township (ITS),0,0,0,0,0,0,0,0,0,0,0
West Bengal,Purba Medinipur,Egra (M),3182,2724,0,0,0,0,1,457,204,0,3
West Bengal,Purba Medinipur,Haldia (M),345,318,0,0,0,0,2,25,3,0,0
Uttarakhand,Udhamsingh Nagar,Kichha (NPP),481,0,454,281,143,27,0,0,158,59,1
Uttarakhand,Udhamsingh Nagar,Mahua Dabra Haripura (NP),111,46,52,50,50,13,0,0,0,0,0
West Bengal,North 24 Paraganas,Naihati (M),1595,27,1532,1506,334,36,0,0,257,2,0
West Bengal,North 24 Paraganas,New Barrackpore (M),1102,437,662,348,298,2,0,1,105,0,0
West Bengal,Purba Medinipur,Panskura (M),1445,28,1415,1413,0,0,2,0,1410,1,0
West Bengal,Purba Medinipur,Tamluk (M),41,26,0,0,0,0,1,14,2,0,0
Uttarakhand,Tehri,Chamba (NP),12,0,11,11,11,0,0,1,11,0,0
Uttarakhand,Udhamsingh Nagar,Mahua Kheraganj (NP),141,20,116,116,103,5,0,0,25,1,0
West Bengal,North 24 Paraganas,North Barrackpore (M),504,0,477,147,96,27,0,0,0,0,0
Uttarakhand,Tehri,Chamiyala (NP),53,0,53,53,53,0,0,0,0,0,0
Uttarakhand,Tehri,Devaprayag (NP),126,2,103,103,0,21,0,0,67,2,52
Uttarakhand,Tehri,GAJA (NP),0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Udhamsingh Nagar,NANAKMATTA (NP),58,1,57,57,57,0,0,0,0,0,0
Uttarakhand,Udhamsingh Nagar,Rudrapur (NPP),824,621,198,26,20,2,3,0,39,114,1
Uttarakhand,Udhamsingh Nagar,Shaktigarh (NP),16,3,11,11,9,0,2,0,1,1,0
West Bengal,North 24 Paraganas,North DumDum (M),1949,5,1938,1938,0,6,0,0,0,0,0
West Bengal,North 24 Paraganas,Panihati (M),1135,45,1086,870,357,0,4,0,0,0,0
Gujarat,Valsad,Dharampur (M),2255,1,2209,2209,0,33,0,12,2209,0,2
Uttarakhand,Tehri,Ghansali (NP),11,0,9,9,9,0,0,2,0,0,0
Uttarakhand,Tehri,Kirtinagar (NP),66,0,36,36,13,29,0,1,40,1,35
Uttarakhand,Udhamsingh Nagar,Sitarganj (NPP),81,24,40,39,37,14,1,2,18,9,5
Uttarakhand,Udhamsingh Nagar,Sultanpur (NP),810,325,121,9,3,364,0,0,0,0,1
West Bengal,North 24 Paraganas,Rajarhat Gopalpur (M),1281,1266,0,0,0,0,1,14,1,0,0
West Bengal,North 24 Paraganas,South DumDum (M),2113,2031,67,0,0,11,0,4,2,0,0
Gujarat,Valsad,Pardi (M),1139,2,1066,1066,0,37,0,34,1066,0,0
Gujarat,Valsad,Sarigam (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Valsad,Umbergaon (INA),0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Tehri,LAMBGAON (NP),11,0,11,11,11,0,0,0,0,0,0
Uttarakhand,Tehri,Muni Ki Reti (NP),39,0,38,38,9,1,0,0,38,0,0
Uttarakhand,Tehri,Narendranagar (NPP),53,18,34,34,0,1,0,0,16,0,0
West Bengal,North 24 Paraganas,Taki (M),8967,2488,0,0,0,0,4,6475,4,1,0
West Bengal,North 24 Paraganas,Titagarh (M),226,222,0,0,0,0,0,4,0,0,0
Gujarat,Vadodara,Chhota Udaipur (M),1245,1,1088,1088,0,121,0,35,1088,0,1
Gujarat,Valsad,Umbergaon (M),2399,1,2383,2383,0,11,0,4,2383,0,0
Gujarat,Valsad,Valsad (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Valsad,Valsad (M),6340,3,6315,6315,0,21,0,1,6316,0,0
Uttarakhand,Tehri,Tehri (MB),43,6,33,29,27,0,0,4,25,0,0
Gujarat,Vadodara,Dabhoi (M),2392,2,2260,2260,0,0,0,130,2260,0,0
Gujarat,Vadodara,GSFC Complex (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Vadodara,Karjan (M),1927,0,1850,1850,4,0,0,77,1850,0,1
Gujarat,Valsad,Vapi (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Valsad,Vapi (M),8695,1,8679,8679,0,13,0,2,8679,0,0
Gujarat,Vadodara,Nandesari (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Vadodara,Padra (M),1282,1,1220,1220,38,0,0,61,1220,0,0
Gujarat,Vadodara,Petro-Chemical Complex (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Vadodara,Por-Ramangamdi (INA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Vadodara,Savli (M),1919,1,1850,1850,0,0,0,68,1850,0,0
Gujarat,Vadodara,Vadodara (M Corp.),20188,12,17157,17138,6,53,0,2966,16828,3,0
Gujarat,Vadodara,Vaghodia (INA),0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Kupwara,Langate (MC),581,86,465,415,19,30,0,0,23,85,0
Jammu & Kashmir,Kupwara,Handwara (MC),708,214,494,494,281,0,0,0,21,165,0
Jammu & Kashmir,Kupwara,Kupwara (MC),685,101,502,463,306,82,0,0,91,24,8
Karnataka,Haveri,Bankapura (TMC),1655,237,1347,1347,1184,65,4,2,1201,164,0
Karnataka,Haveri,Byadgi (TMC),1458,0,1448,1448,829,0,0,10,1434,14,0
Karnataka,Haveri,Guttala (TP),1666,2,1664,1595,1595,0,0,0,1506,137,0
Karnataka,Haveri,Hangal (TMC),1135,74,1025,995,887,34,0,2,995,5,0
Karnataka,Haveri,Haveri (CMC),2435,63,2289,2239,2192,80,0,3,1783,124,0
Karnataka,Haveri,Hirekerur (TP),802,0,589,589,566,200,0,13,594,0,0
Karnataka,Haveri,Ranibennur (CMC),1911,15,1699,1677,1580,194,0,3,1634,4,0
Karnataka,Haveri,Savanur (TMC),2282,464,1806,1790,1204,10,2,0,1437,131,0
Karnataka,Haveri,Shiggaon (TMC),1805,288,1492,1448,1358,6,0,19,1155,198,0
Jharkhand,Ramgarh,Ramgarh (NPP),13234,1,11939,11939,11896,568,1,725,11959,0,0
Jharkhand,Ramgarh,Ramgarh Cantonment (CB),1009,5,42,42,41,23,2,937,46,0,0
Jharkhand,Purbi Singhbhum,Chakulia (NP),1532,3,1450,1450,298,10,0,69,1450,2,0
Jharkhand,Purbi Singhbhum,Jamshedpur (NAC),14080,4,12437,12437,9390,1625,2,12,12437,21,1
Jharkhand,Purbi Singhbhum,Jugsalai (M),605,1,506,506,495,60,0,38,506,1,1
Jharkhand,Purbi Singhbhum,Mango (NAC),5121,2,4624,4624,1611,439,0,56,4624,1,3
Karnataka,Hassan,Alur (TP),60,0,58,57,56,1,1,0,57,0,0
Karnataka,Hassan,Arkalgud (TP),643,3,572,572,553,68,0,0,360,0,0
Karnataka,Hassan,Arsikere (TMC),371,2,368,357,342,1,0,0,187,36,0
Karnataka,Hassan,Belur (TMC),395,0,392,391,365,3,0,0,378,4,0
Karnataka,Hassan,Channarayapatna (TMC),294,9,278,272,263,7,0,0,228,12,0
Karnataka,Hassan,Hassan (CMC),111,0,111,111,15,0,0,0,111,0,0
Karnataka,Hassan,Hole Narsipur (TMC),485,3,433,433,398,48,0,1,433,0,0
Karnataka,Hassan,Sakleshpur (TMC),105,23,82,82,66,0,0,0,21,13,0
West Bengal,Murshidabad,Beldanga (M),31,25,2,1,1,0,0,4,1,0,0
West Bengal,Murshidabad,Berhampore (M),138,25,0,0,0,0,0,113,1,0,1
West Bengal,Murshidabad,Dhulian (M),752,563,0,0,0,0,3,186,1,2,5
West Bengal,Murshidabad,Domkal,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Murshidabad,Jangipur (M),59,39,0,0,0,0,2,18,0,1,3
West Bengal,Murshidabad,Jiaganj-Azimganj (M),27,24,0,0,0,0,1,2,0,1,0
West Bengal,Murshidabad,Kandi (M),2135,976,0,0,0,0,3,1156,4,1,0
West Bengal,Murshidabad,Murshidabad (M),898,712,0,0,0,0,3,183,1,1,3
West Bengal,Nadia,Birnagar (M),1333,1333,0,0,0,0,0,0,1328,0,0
West Bengal,Nadia,Chakdaha (M),698,320,0,0,0,0,0,378,285,0,0
West Bengal,Nadia,Cooper's Camp (NA),647,646,0,0,0,0,0,1,594,0,0
West Bengal,Nadia,Gayespur (M),490,489,1,0,0,0,0,0,477,0,0
West Bengal,Nadia,Haringhata,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Nadia,Kalyani (M),344,343,0,0,0,0,0,1,341,0,0
West Bengal,Nadia,Krishnanagar (M),1676,1632,0,0,0,0,0,44,1568,1,1
West Bengal,Nadia,Nabadwip (M),2271,2185,82,80,0,0,0,4,2247,0,0
West Bengal,Nadia,Ranaghat (M),11,7,0,0,0,0,1,3,3,0,0
West Bengal,Nadia,Santipur (M),1936,1934,0,0,0,0,1,1,1904,1,0
West Bengal,Nadia,Taherpur (NA),1,0,0,0,0,0,0,1,0,0,0
Uttarakhand,Rudraprayag,Augustmuni,46,0,43,43,19,2,0,1,43,0,0
Uttarakhand,Rudraprayag,Kedarnath (NP),0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Rudraprayag,Rudraprayag (NPP),98,1,94,68,55,3,0,0,37,17,0
Uttarakhand,Rudraprayag,Tilwara (NP),19,0,19,19,19,0,0,0,0,0,0
Uttarakhand,Rudraprayag,Ukhimath,2,0,2,2,2,0,0,0,0,0,0
Gujarat,The Dangs,Saputara (NA),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Tapi,Songadh (M),1689,0,958,958,0,506,0,225,958,0,0
Gujarat,Tapi,Vyara (M),2995,2,2515,2515,0,274,0,204,2516,0,0
Gujarat,Surendranagar Dudhrej,Chotila (M),985,1,487,485,0,404,0,93,485,0,0
Gujarat,Surendranagar Dudhrej,Dhrangadhra (M),2540,3,1721,1721,0,0,0,816,1722,0,0
Gujarat,Surendranagar Dudhrej,Limbdi (M),4083,3,3376,3376,0,0,0,704,3376,0,1
Gujarat,Surendranagar Dudhrej,Patdi (M),1979,4,1528,1528,0,0,0,447,1529,0,1
Gujarat,Surendranagar Dudhrej,Surendranagar Dudhrej (M),6818,9,6522,6522,0,217,0,70,6524,0,1
Gujarat,Surendranagar Dudhrej,Thangadh (M),2148,0,1995,1995,0,0,0,153,1995,0,0
Gujarat,Surendranagar Dudhrej,Wadhwan (M),1110,4,1021,1021,0,0,0,85,1022,1,0
Jammu & Kashmir,Kulgam,Ashmuji Khalsa (MC),3,3,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Kulgam,Devsar (MC),556,55,378,366,306,117,0,6,112,8,0
Jammu & Kashmir,Kulgam,Frisal (MC),591,37,503,489,185,50,1,0,148,3,0
Jammu & Kashmir,Kulgam,Kulgam (MC),2027,19,1407,1380,1131,596,2,3,355,11,2
Jammu & Kashmir,Kulgam,Mehmood Pora (MC),5,5,0,0,0,0,0,0,1,0,0
Jammu & Kashmir,Kulgam,Quimoh (MC),26,26,0,0,0,0,0,0,1,0,0
Jammu & Kashmir,Kulgam,Yari Pora (MC),589,153,427,426,409,8,0,1,80,14,0
Karnataka,Gulbarga,Afzalpur (TP),1006,175,827,825,731,4,0,0,378,81,0
Karnataka,Gulbarga,Aland (TMC),2044,573,1463,1293,1119,8,0,0,174,183,0
Karnataka,Gulbarga,Chincholi (TP),938,14,921,908,791,2,1,0,190,75,0
Karnataka,Gulbarga,Chitapur (TMC),1824,0,1822,1822,1339,2,0,0,497,100,0
Karnataka,Gulbarga,Gulbarga (M Corp.),9462,3582,3279,3277,2982,2589,9,3,1730,3,0
Karnataka,Gulbarga,Jevargi (TP),1339,3,1333,1328,626,3,0,0,367,65,0
Karnataka,Gulbarga,Sedam (TMC),1588,135,1443,1178,902,10,0,0,443,76,0
Karnataka,Gulbarga,Shahabad (CMC),2066,532,1391,1033,852,138,4,1,416,175,0
Karnataka,Gulbarga,Shahabad ACC (NAC),0,0,0,0,0,0,0,0,0,0,0
Karnataka,Gulbarga,Wadi (TMC),1550,133,1411,1252,1049,6,0,0,346,78,0
Uttarakhand,Pithoragarh,Berinag (NP),280,1,187,187,187,3,0,89,0,0,0
Uttarakhand,Pithoragarh,Dharchula (NP),215,132,76,30,4,7,0,0,11,17,0
