State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Bihar,Gaya,Gaya (M Corp.),11398,3752,7627,6875,6084,9,4,6,2301,1589,8
Bihar,Gaya,Sherghati (NP),2065,884,1164,189,148,5,4,8,198,326,1
Bihar,Gaya,Tikari (NP),2122,1406,674,20,0,4,8,30,49,472,11
Rajasthan,Jaisalmer,Jaisalmer (M),1712,895,803,612,533,10,3,1,413,130,2
Rajasthan,Jaisalmer,Pokaran (M),1138,167,890,885,443,80,0,1,947,0,0
Rajasthan,Sikar,Fatehpur (M),1873,268,793,739,374,345,0,467,744,1,17
Rajasthan,Sikar,Khandela (M),981,37,936,935,909,6,1,1,323,8,1
Rajasthan,Sikar,Lachhmangarh (M),923,34,879,879,733,10,0,0,752,0,1
Rajasthan,Sikar,Losal (M),958,32,915,902,263,11,0,0,736,8,0
Rajasthan,Sikar,Neem-Ka-Thana (M),1270,354,835,834,448,78,2,1,833,3,5
Rajasthan,Sikar,Ramgarh Shekhawati(M),536,0,525,525,18,11,0,0,525,0,1
Rajasthan,Sikar,Reengus (M),884,33,820,820,803,31,0,0,779,0,0
Rajasthan,Sikar,Sikar (M Cl),4353,6,3963,3963,3949,70,2,312,3710,52,13
Rajasthan,Sikar,Sri Madhopur (M),634,3,400,400,381,213,4,14,400,86,3
Rajasthan,Tonk,Deoli (M),452,0,354,354,354,64,0,34,354,0,1
Rajasthan,Tonk,Malpura (M),1405,237,1160,1125,1102,6,1,1,704,0,4
Rajasthan,Tonk,Niwai (M),2378,3,2320,2320,1046,41,0,14,2320,0,0
Rajasthan,Tonk,Todaraisingh (M),1783,0,1772,1772,1759,10,1,0,1617,0,1
Rajasthan,Tonk,Tonk (M Cl),11756,2920,7835,4207,3302,1000,0,1,4091,70,3
Rajasthan,Tonk,Uniara (M),1147,70,1069,974,747,5,1,2,949,0,1
Telangana,Khammam,Khammam (M),6511,2266,4244,4244,4113,0,1,0,4247,0,1
Telangana,Khammam,Kothagudem (M),1517,618,899,899,899,0,0,0,899,0,0
Telangana,Khammam,Madhira(NP),966,485,481,481,479,0,0,0,481,0,0
Telangana,Khammam,Manugur (M),2078,792,1285,1285,1279,0,1,0,1286,0,0
Telangana,Khammam,Palwancha (M),2277,260,2017,2017,1633,0,0,0,2017,0,0
Telangana,Khammam,Sathupalle (NP),1155,457,698,698,652,0,0,0,699,0,0
Telangana,Khammam,Yellandu (M),1926,707,1219,1219,1199,0,0,0,1219,0,0
Punjab,Ludhiana,Doraha (M Cl),192,0,190,123,33,2,0,0,128,0,0
Punjab,Ludhiana,Jagraon (M Cl),470,223,247,246,245,0,0,0,189,0,1
Punjab,Ludhiana,Khanna (M Cl),354,0,192,189,189,162,0,0,185,0,0
Punjab,Ludhiana,Ludhiana (M Corp.),9882,144,9735,9280,305,2,1,0,8779,40,0
Punjab,Ludhiana,Machhiwara (M Cl),186,186,0,0,0,0,0,0,180,0,0
Punjab,Ludhiana,Maloud (NP),35,0,32,32,0,2,0,1,30,1,0
Punjab,Ludhiana,Mullanpur Dakha (NP),657,1,111,111,110,545,0,0,75,0,0
Punjab,Ludhiana,Payal (M Cl),139,120,19,12,7,0,0,0,19,0,0
Punjab,Ludhiana,Raikot (M Cl),139,0,116,116,109,23,0,0,101,0,0
Punjab,Ludhiana,Sahnewal (NP),139,1,134,134,26,4,0,0,132,1,0
Punjab,Ludhiana,Samrala (M Cl),401,1,394,394,316,6,0,0,394,0,0
Uttar Pradesh,Hapur,Babugarh (NP),198,6,79,52,48,109,1,3,47,13,0
Uttar Pradesh,Hapur,Garhmukhteshwar (NPP),3922,717,1858,1858,1510,1320,16,11,2310,146,19
Uttar Pradesh,Hapur,Hapur (NPP),6383,58,3095,3095,2063,3190,7,33,1878,24,27
Uttar Pradesh,Hapur,Pilkhuwa (NPP),2429,63,1496,1479,997,856,8,6,516,15,4
Tamil Nadu,Sivaganga,Devakottai (M),887,7,863,863,846,16,1,0,818,3,0
Tamil Nadu,Sivaganga,Ilayangudi (TP),332,6,315,147,138,11,0,0,149,0,0
Tamil Nadu,Sivaganga,Kanadukathan (TP),237,9,161,154,153,61,1,5,85,1,0
Tamil Nadu,Sivaganga,Kandanur (TP),225,28,130,130,125,14,0,53,100,0,0
Tamil Nadu,Sivaganga,Karaikkudi (M),1917,0,1823,1823,981,94,0,0,1823,4,0
Tamil Nadu,Sivaganga,Kottaiyur (TP),502,18,462,402,139,16,0,6,226,14,0
Tamil Nadu,Sivaganga,Manamadurai (TP),393,152,228,222,221,12,1,0,315,3,0
Tamil Nadu,Sivaganga,Nattarasankottai (TP),80,0,78,68,59,2,0,0,68,0,0
Tamil Nadu,Sivaganga,Nerkuppai (TP),376,2,372,279,256,0,0,2,139,125,0
Tamil Nadu,Sivaganga,Pallathur (TP),354,19,332,325,286,1,2,0,182,0,0
Tamil Nadu,Sivaganga,Puduvayal (TP),327,66,261,257,232,0,0,0,195,20,0
Tamil Nadu,Sivaganga,Singampuneri (TP),207,16,180,180,136,9,0,2,70,0,0
Tamil Nadu,Sivaganga,Sivaganga (M),1109,0,801,801,316,308,0,0,801,5,0
Tamil Nadu,Sivaganga,Thirupuvanam (TP),73,30,43,17,17,0,0,0,29,0,0
Tamil Nadu,Sivaganga,Tirupathur (TP),404,94,297,233,226,4,0,9,185,23,0
Punjab,Tarn Taran,Bhikhiwind,513,1,356,333,156,156,0,0,231,55,0
Punjab,Tarn Taran,Khem Karan (NP),745,0,732,732,731,12,0,1,92,0,0
Punjab,Tarn Taran,Patti (M Cl),212,3,145,132,132,63,0,1,97,1,23
Punjab,Tarn Taran,Tarn Taran (M Cl),716,66,605,605,604,45,0,0,565,0,0
Rajasthan,Churu,Bidasar (M),1123,69,999,999,616,47,0,8,955,1,3
Rajasthan,Churu,Chhapar (M),996,40,816,816,791,140,0,0,582,24,2
Rajasthan,Churu,Churu (M Cl),1625,4,1452,1452,961,20,0,149,1155,18,1
Rajasthan,Churu,Rajaldesar (M),2203,0,904,904,668,1292,0,7,814,1,1
Rajasthan,Churu,Rajgarh (M),5216,455,4103,4103,1913,639,16,3,4103,306,4
Rajasthan,Churu,Ratangarh (M),2381,16,2022,2022,1140,341,0,2,2022,0,1
Rajasthan,Churu,Ratannagar (M),362,2,289,289,15,71,0,0,282,0,0
Rajasthan,Churu,Sardarshahar (M),1375,99,1193,1193,311,80,0,3,1033,13,2
Rajasthan,Churu,Sujangarh (M),1259,214,1003,1003,998,39,0,3,460,2,1
Rajasthan,Churu,Taranagar (M),1344,8,977,977,119,359,0,0,977,2,0
Rajasthan,Udaipur,Bhinder (M),1019,17,992,950,910,8,1,1,903,26,0
Rajasthan,Udaipur,Fatehnagar (M),2195,147,1903,1688,1368,27,0,118,1475,14,0
Rajasthan,Udaipur,Kanor (M),1094,315,740,739,0,31,0,8,535,24,0
Rajasthan,Udaipur,Salumbar (M),302,4,284,278,265,14,0,0,227,0,1
Rajasthan,Udaipur,Udaipur (M Cl),2261,5,1917,1872,1871,307,1,31,1877,6,4
Uttar Pradesh,Agra,Achhnera (NPP),8759,402,171,171,163,8166,7,13,79,86,12
Uttar Pradesh,Agra,Agra (CB),6,6,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Agra,Agra (M Corp.),38044,2672,14421,14404,10837,20737,60,154,7179,1698,40
Uttar Pradesh,Agra,Bah (NPP),2318,574,529,383,289,1198,8,9,150,240,19
Uttar Pradesh,Agra,Dayalbagh (NP),20144,3881,114,114,108,12235,0,3914,54,6,1
Uttar Pradesh,Agra,Etmadpur (NPP),34231,1630,754,307,272,20973,14,10860,43,23,10
Uttar Pradesh,Agra,Fatehabad (NP),17167,2830,756,616,548,10329,10,3242,70,220,7
Uttar Pradesh,Agra,Fatehpur Sikri (NPP),4145,26,1295,1295,1196,2794,3,27,812,252,7
Uttar Pradesh,Agra,Jagner (NP),4302,577,541,530,514,3175,1,8,164,1,2
Uttar Pradesh,Agra,Kheragarh (NP),36376,996,1441,1428,1353,33019,5,915,1177,269,7
Uttar Pradesh,Agra,Kiraoali (NP),9705,1,1406,1406,968,1279,0,7019,482,170,0
Uttar Pradesh,Agra,Pinahat (NP),2660,773,613,573,517,1247,15,12,620,346,7
Uttar Pradesh,Agra,Shamsabad (NPP),6091,1,105,105,102,5944,12,29,235,86,11
Uttar Pradesh,Agra,Swamibagh (NP),43,3,0,0,0,37,0,3,1,1,1
Punjab,Sangrur,Ahmedgarh (M Cl),131,0,130,130,47,1,0,0,105,0,0
Punjab,Sangrur,Amargarh,50,0,45,43,43,1,0,4,43,0,0
Punjab,Sangrur,Bhawanigarh (M Cl),350,0,350,350,342,0,0,0,341,0,0
Punjab,Sangrur,Cheema (NP),504,2,496,485,484,6,0,0,375,0,0
Punjab,Sangrur,Dhuri (M Cl),245,37,196,196,190,12,0,0,172,22,0
Punjab,Sangrur,Dirba (NP),275,1,202,202,189,48,1,23,181,16,0
Punjab,Sangrur,Khanauri (NP),522,2,519,519,358,1,0,0,510,0,0
Punjab,Sangrur,Lehragaga (M Cl),895,0,887,887,755,8,0,0,580,4,0
Punjab,Sangrur,Longowal (M Cl),642,0,500,500,396,142,0,0,478,3,5
Punjab,Sangrur,Malerkotla (M Cl),494,32,444,443,441,17,1,0,385,1,0
Punjab,Sangrur,Moonak (NP),511,12,453,453,452,46,0,0,451,1,1
Punjab,Sangrur,Sangrur (M Cl),682,124,372,372,355,186,0,0,304,14,1
Punjab,Sangrur,Sunam Udham Singh Wala (M Cl),598,119,380,380,371,99,0,0,339,3,3
Punjab,Sirhind Fatehgarh Sahib,Amloh (M Cl),266,2,264,264,253,0,0,0,249,6,0
Punjab,Sirhind Fatehgarh Sahib,Bassi Pathana (M Cl),77,50,0,0,0,0,0,27,12,0,0
Punjab,Sirhind Fatehgarh Sahib,Gobindgarh (M Cl),91,2,87,87,87,2,0,0,87,0,0
Punjab,Sirhind Fatehgarh Sahib,Khamanon (NP),112,0,112,111,110,0,0,0,112,0,0
